03 ; calculo 1a                             ; engenharia de materiais   ; 246t12 ; 2024_1
03 ; calculo 1a                             ; engenharia de materiais   ; 246t34 ; 2024_1
03 ; calculo 1a                             ; engenharia de materiais   ; 246t12 ; 2024_1
03 ; calculo 1a                             ; engenharia de materiais   ; 246t34 ; 2024_1
03 ; geometria analitica                    ; engenharia de transportes ; 24m23  ; 2024_1
03 ; geometria analitica                    ; engenharia de producao    ; 24m45  ; 2024_1
03 ; calculo 3a                             ; engenharia de materiais   ; 24m45  ; 2024_1
03 ; calculo 3b                             ; engenharia de transportes ; 24t12  ; 2024_1
03 ; probabilidade e estatistica a          ; engenharia de transportes ; 24m23  ; 2024_1
03 ; probabilidade e estatistica a          ; engenharia de materiais   ; 24m45  ; 2024_1
01 ; calculo 1a                             ; engenharia eletrica       ; 246m12 ; 2024_1
01 ; calculo 1a                             ; engenharia de computacao  ; 246m34 ; 2024_1
01 ; calculo 2a                             ; engenharia civil          ; 246m12 ; 2024_1
01 ; algebra linear                         ; engenharia civil          ; 24m34  ; 2024_1
01 ; edo                                    ; engenharia de computacao  ; 24m56  ; 2024_1
01 ; calculo 3                              ; engenharia eletrica       ; 24m12  ; 2024_1
01 ; calculo 3a                             ; engenharia de computacao  ; 24m34  ; 2024_1
01 ; edo                                    ; engenharia civil          ; 24m12  ; 2024_1
01 ; edo                                    ; engenharia eletrica       ; 24m34  ; 2024_1
01 ; edo                                    ; engenharia ambiental      ; 24m56  ; 2024_1
01 ; probabilidade e estatistica a          ; engenharia de computacao  ; 46m12  ; 2024_1
01 ; probabilidade e estatistica a          ; engenharia ambiental      ; 46m34  ; 2024_1
01 ; probabilidade e estatistica a          ; engenharia civil          ; 46m56  ; 2024_1
01 ; geometria analitica                    ; engenharia eletrica       ; 35m12  ; 2024_1
01 ; calculo numerico                       ; engenharia eletrica       ; 35m34  ; 2024_1
01 ; matematica discreta                    ; engenharia de computacao  ; 35m56  ; 2024_1
01 ; bioestatistica                         ; nutricao                  ; 6m123  ; 2024_1
01 ; calculo 1a                             ; engenharia civil          ; 246t12 ; 2024_1
01 ; calculo 1a                             ; engenharia ambiental      ; 246t34 ; 2024_1
01 ; calculo 3a                             ; engenharia civil          ; 24t56  ; 2024_1
01 ; calculo 2a                             ; engenharia eletrica       ; 246t12 ; 2024_1
01 ; calculo 2a                             ; engenharia de computacao  ; 246t34 ; 2024_1
01 ; algebra linear                         ; engenharia eletrica       ; 35t12  ; 2024_1
01 ; calculo numerico                       ; engenharia civil          ; 35t12  ; 2024_1
01 ; geometria analitica                    ; engenharia civil          ; 46t34  ; 2024_1
01 ; algebra linear                         ; engenharia de computacao  ; 46t56  ; 2024_1
01 ; probabilidade e estatistica a          ; engenharia eletrica       ; 46t34  ; 2024_1
01 ; bioestatistica                         ; farmacia                  ; 46t23  ; 2024_1
01 ; bioestatistica 1                       ; medicina                  ; 4t12   ; 2024_1
01 ; bioestatistica 1                       ; medicina                  ; 6t12   ; 2024_1
01 ; estatistica 1                          ; psicologia                ; 35n34  ; 2024_1
01 ; calculo numerico                       ; engenharia de computacao  ; 35n45  ; 2024_1
02 ; calculo 1a                             ; engenharia de alimentos   ; 246m23 ; 2024_1
02 ; edo                                    ; ciencia da computacao     ; 24m45  ; 2024_1
02 ; calculo 1a                             ; quimica bacharelado       ; 246m23 ; 2024_1
02 ; algebra linear                         ; quimica bacharelado       ; 46m45  ; 2024_1
02 ; calculo 2a                             ; quimica bacharelado       ; 246m23 ; 2024_1
02 ; calculo 2a                             ; ciencia da computacao     ; 246m45 ; 2024_1
02 ; estatistica ii                         ; gestao da informacao      ; 246m23 ; 2024_1
02 ; estatistica                            ; ciencias contabeis        ; 46m45  ; 2024_1
02 ; calculo 1a                             ; engenharia quimica        ; 246m23 ; 2024_1
02 ; calculo numerico                       ; ciencia da computacao     ; 24m45  ; 2024_1
02 ; algebra linear                         ; ciencias economicas       ; 24m23  ; 2024_1
02 ; algebra linear                         ; ciencia da computacao     ; 24m45  ; 2024_1
02 ; calculo numerico                       ; engenharia quimica        ; 24m23  ; 2024_1
02 ; probabilidade e estatistica            ; relacoes internacionais   ; 24m23  ; 2024_1
02 ; introducao a estatistica               ; relacoes publicas         ; 24m45  ; 2024_1
02 ; probabilidade e estatistica a          ; ciencia da computacao     ; 24m23  ; 2024_1
02 ; probabilidade e estatistica a          ; inteligencia artificial   ; 24m45  ; 2024_1
